"Type","Entrypoint","Parent Class","Manifest Access Control","Access Control Level"
"SERVICE","com.android.server.statusbar.StatusBarManagerService.addTile(Landroid/content/ComponentName;)V","Lcom/android/server/statusbar/StatusBarManagerService","","SYS_OR_SIG"
"SERVICE","com.android.server.statusbar.StatusBarManagerService.cancelRequestAddTile(Ljava/lang/String;)V","Lcom/android/server/statusbar/StatusBarManagerService","","SYS_OR_SIG"
"SERVICE","com.android.server.statusbar.StatusBarManagerService.clearInlineReplyUriPermissions(Ljava/lang/String;)V","Lcom/android/server/statusbar/StatusBarManagerService","","SYS_OR_SIG"
"SERVICE","com.android.server.statusbar.StatusBarManagerService.clearNotificationEffects()V","Lcom/android/server/statusbar/StatusBarManagerService","","SYS_OR_SIG"
"SERVICE","com.android.server.statusbar.StatusBarManagerService.clickTile(Landroid/content/ComponentName;)V","Lcom/android/server/statusbar/StatusBarManagerService","","SYS_OR_SIG"
"SERVICE","com.android.server.statusbar.StatusBarManagerService.collapsePanels()V","Lcom/android/server/statusbar/StatusBarManagerService","","SYS_OR_SIG"
"SERVICE","com.android.server.statusbar.StatusBarManagerService.disable(ILandroid/os/IBinder;Ljava/lang/String;)V","Lcom/android/server/statusbar/StatusBarManagerService","","SYS_OR_SIG"
"SERVICE","com.android.server.statusbar.StatusBarManagerService.disable2(ILandroid/os/IBinder;Ljava/lang/String;)V","Lcom/android/server/statusbar/StatusBarManagerService","","SYS_OR_SIG"
"SERVICE","com.android.server.statusbar.StatusBarManagerService.disable2ForUser(ILandroid/os/IBinder;Ljava/lang/String;I)V","Lcom/android/server/statusbar/StatusBarManagerService","","SYS_OR_SIG"
"SERVICE","com.android.server.statusbar.StatusBarManagerService.disableForUser(ILandroid/os/IBinder;Ljava/lang/String;I)V","Lcom/android/server/statusbar/StatusBarManagerService","","SYS_OR_SIG"
"SERVICE","com.android.server.statusbar.StatusBarManagerService.dismissInattentiveSleepWarning(Z)V","Lcom/android/server/statusbar/StatusBarManagerService","","SYS_OR_SIG"
"SERVICE","com.android.server.statusbar.StatusBarManagerService.expandNotificationsPanel()V","Lcom/android/server/statusbar/StatusBarManagerService","","NORMAL"
"SERVICE","com.android.server.statusbar.StatusBarManagerService.expandSettingsPanel(Ljava/lang/String;)V","Lcom/android/server/statusbar/StatusBarManagerService","","NORMAL"
"SERVICE","com.android.server.statusbar.StatusBarManagerService.getDisableFlags(Landroid/os/IBinder;I)[I","Lcom/android/server/statusbar/StatusBarManagerService","","SYS_OR_SIG"
"SERVICE","com.android.server.statusbar.StatusBarManagerService.getNavBarMode()I","Lcom/android/server/statusbar/StatusBarManagerService","","SYS_OR_SIG"
"SERVICE","com.android.server.statusbar.StatusBarManagerService.grantInlineReplyUriPermission(Ljava/lang/String;Landroid/net/Uri;Landroid/os/UserHandle;Ljava/lang/String;)V","Lcom/android/server/statusbar/StatusBarManagerService","","SYS_OR_SIG"
"SERVICE","com.android.server.statusbar.StatusBarManagerService.handleSystemKey(I)V","Lcom/android/server/statusbar/StatusBarManagerService","","SYS_OR_SIG"
"SERVICE","com.android.server.statusbar.StatusBarManagerService.hideAuthenticationDialog(J)V","Lcom/android/server/statusbar/StatusBarManagerService","","SYS_OR_SIG"
"SERVICE","com.android.server.statusbar.StatusBarManagerService.hideCurrentInputMethodForBubbles()V","Lcom/android/server/statusbar/StatusBarManagerService","","SYS_OR_SIG"
"SERVICE","com.android.server.statusbar.StatusBarManagerService.isTracing()Z","Lcom/android/server/statusbar/StatusBarManagerService","","NONE"
"SERVICE","com.android.server.statusbar.StatusBarManagerService.onBiometricAuthenticated(I)V","Lcom/android/server/statusbar/StatusBarManagerService","","SYS_OR_SIG"
"SERVICE","com.android.server.statusbar.StatusBarManagerService.onBiometricError(III)V","Lcom/android/server/statusbar/StatusBarManagerService","","SYS_OR_SIG"
"SERVICE","com.android.server.statusbar.StatusBarManagerService.onBiometricHelp(ILjava/lang/String;)V","Lcom/android/server/statusbar/StatusBarManagerService","","SYS_OR_SIG"
"SERVICE","com.android.server.statusbar.StatusBarManagerService.onBubbleMetadataFlagChanged(Ljava/lang/String;I)V","Lcom/android/server/statusbar/StatusBarManagerService","","SYS_OR_SIG"
"SERVICE","com.android.server.statusbar.StatusBarManagerService.onClearAllNotifications(I)V","Lcom/android/server/statusbar/StatusBarManagerService","","SYS_OR_SIG"
"SERVICE","com.android.server.statusbar.StatusBarManagerService.onGlobalActionsHidden()V","Lcom/android/server/statusbar/StatusBarManagerService","","SYS_OR_SIG"
"SERVICE","com.android.server.statusbar.StatusBarManagerService.onGlobalActionsShown()V","Lcom/android/server/statusbar/StatusBarManagerService","","SYS_OR_SIG"
"SERVICE","com.android.server.statusbar.StatusBarManagerService.onNotificationActionClick(Ljava/lang/String;ILandroid/app/Notification$Action;Lcom/android/internal/statusbar/NotificationVisibility;Z)V","Lcom/android/server/statusbar/StatusBarManagerService","","SYS_OR_SIG"
"SERVICE","com.android.server.statusbar.StatusBarManagerService.onNotificationBubbleChanged(Ljava/lang/String;ZI)V","Lcom/android/server/statusbar/StatusBarManagerService","","SYS_OR_SIG"
"SERVICE","com.android.server.statusbar.StatusBarManagerService.onNotificationClear(Ljava/lang/String;ILjava/lang/String;IILcom/android/internal/statusbar/NotificationVisibility;)V","Lcom/android/server/statusbar/StatusBarManagerService","","SYS_OR_SIG"
"SERVICE","com.android.server.statusbar.StatusBarManagerService.onNotificationClick(Ljava/lang/String;Lcom/android/internal/statusbar/NotificationVisibility;)V","Lcom/android/server/statusbar/StatusBarManagerService","","SYS_OR_SIG"
"SERVICE","com.android.server.statusbar.StatusBarManagerService.onNotificationDirectReplied(Ljava/lang/String;)V","Lcom/android/server/statusbar/StatusBarManagerService","","SYS_OR_SIG"
"SERVICE","com.android.server.statusbar.StatusBarManagerService.onNotificationError(Ljava/lang/String;Ljava/lang/String;IIILjava/lang/String;I)V","Lcom/android/server/statusbar/StatusBarManagerService","","SYS_OR_SIG"
"SERVICE","com.android.server.statusbar.StatusBarManagerService.onNotificationExpansionChanged(Ljava/lang/String;ZZI)V","Lcom/android/server/statusbar/StatusBarManagerService","","SYS_OR_SIG"
